truc,pair,dac_trung,lag,n,n_khop,F,he_so,dau,p_tiem_can,p_hoan_vi,p_wy,q_fdr
bien_do,GBPUSD,lr_rs,1,3050,,8.91501514054759,0.04716735683103605,1,0.0028508660200051716,0.001998001998001998,0.8351648351648352,0.09221547683086145
bien_do,GBPUSD,lr_rs,2,3050,,0.0416386895257343,0.003229463574749014,1,0.8383236746050442,0.8491508491508492,1.0,0.99744005994006
bien_do,GBPUSD,doji,1,3050,159.0,1.1944695079019245,0.042612500391140666,1,0.27451625353188014,0.26973026973026976,1.0,0.832003817078444
bien_do,GBPUSD,doji,2,3050,159.0,0.6208240913312743,0.030723215280931217,1,0.4308025030343924,0.4125874125874126,1.0,0.9280492235037688
bien_do,GBPUSD,bua,1,3050,97.0,0.6204564597270317,-0.03890557932010049,-1,0.43093898223698,0.4355644355644356,1.0,0.9280492235037688
bien_do,GBPUSD,bua,2,3050,97.0,0.2354002639374288,-0.02396491958624289,-1,0.6275830864830083,0.6063936063936064,1.0,0.9393138507062558
bien_do,GBPUSD,sao_bang,1,3050,99.0,1.556764176428141,0.06101176976622738,1,0.21223551591995582,0.21578421578421578,1.0,0.7931093296946954
bien_do,GBPUSD,sao_bang,2,3050,99.0,1.3129355443893298,0.05603120878326448,1,0.2519538278758069,0.27372627372627373,1.0,0.832003817078444
bien_do,GBPUSD,marubozu,1,3050,74.0,1.780191534708512,0.07514175426255015,1,0.1822255134757902,0.17682317682317683,1.0,0.7796399404791013
bien_do,GBPUSD,marubozu,2,3050,74.0,0.32125420680078254,0.031928109215102245,1,0.5708966337343058,0.5574425574425574,1.0,0.9313267377783506
bien_do,GBPUSD,con_quay,1,3050,582.0,0.00010294572831662324,-0.0002238599855892212,-1,0.9919052928792064,0.993006993006993,1.0,0.9976667739605971
bien_do,GBPUSD,con_quay,2,3050,581.0,0.056383041631240235,-0.005242345269120881,-1,0.8123227876012183,0.8191808191808192,1.0,0.983016983016983
bien_do,GBPUSD,nhan_chim_tang,1,3050,212.0,1.2124993048012318,0.0375340382383231,1,0.270924681984824,0.25874125874125875,1.0,0.8301858569238248
bien_do,GBPUSD,nhan_chim_tang,2,3050,212.0,3.3667484824432035,-0.06252806847786395,-1,0.06662236511985364,0.04995004995004995,1.0,0.52578999947421
bien_do,GBPUSD,nhan_chim_giam,1,3050,202.0,1.0117106818443597,-0.035060248018527605,-1,0.31457322960728884,0.2967032967032967,1.0,0.8600095556617295
bien_do,GBPUSD,nhan_chim_giam,2,3050,202.0,0.8336854411379884,-0.0318217220662642,-1,0.36128124391643124,0.32667332667332666,1.0,0.892320349333924
bien_do,GBPUSD,harami_tang,1,3050,203.0,2.0797741674359718,0.05013974768644132,1,0.14936503259348677,0.12487512487512488,1.0,0.7192807192807193
bien_do,GBPUSD,harami_tang,2,3050,203.0,0.02225140556721975,0.005187209537976091,1,0.8814301127558658,0.8731268731268731,1.0,0.9976667739605971
bien_do,GBPUSD,harami_giam,1,3050,218.0,0.9475817791069643,-0.03274660708355403,-1,0.33041286956451965,0.3246753246753247,1.0,0.892320349333924
bien_do,GBPUSD,harami_giam,2,3050,218.0,0.2599035607387838,-0.017152470418863325,-1,0.6102233401186257,0.5954045954045954,1.0,0.9365634365634365
