W,mau,dich,n,lift,z,p_tho,p_wy,p_wy_xoay,p_wy_k5,q_fdr
4,MEDIUM → HIGH → MEDIUM → MEDIUM,MEDIUM,408,1.7098329485264159,10.317610027930542,0.0,1.0,0.0,1.0,0.0
3,MEDIUM → MEDIUM → MEDIUM,HIGH,1973,0.6778845196174557,-10.256710724631057,0.0,1.0,0.0,1.0,0.0
2,LOW → MEDIUM,LOW,1762,1.3486794584231705,10.026401247635095,0.0,1.0,0.0,1.0,0.0
4,LOW → MEDIUM → MEDIUM → LOW,HIGH,253,0.12815457881548162,-9.936989962635984,0.0,1.0,0.0,1.0,0.0
4,HIGH → MEDIUM → MEDIUM → HIGH,LOW,302,0.17614626572451597,-9.811755639248576,0.0,1.0,0.0,1.0,0.0
4,LOW → MEDIUM → MEDIUM → LOW,LOW,253,1.8799856270212,9.592437471975545,0.0,1.0,0.0,1.0,0.0
4,MEDIUM → MEDIUM → MEDIUM → HIGH,LOW,453,0.34538483475395293,-9.548349359844874,0.0,1.0,0.0,1.0,0.0
2,LOW → MEDIUM,MEDIUM,1762,1.3132560060788034,9.458277448967058,0.0,1.0,0.0,1.0,0.0
3,HIGH → HIGH → MEDIUM,HIGH,919,1.4297045392989343,9.33814610763944,0.0,1.0,0.0,1.0,0.0
4,MEDIUM → LOW → LOW → MEDIUM,HIGH,289,0.2549788332833977,-9.075543286192579,0.0,1.0,0.0,1.0,0.0
3,MEDIUM → HIGH → MEDIUM,LOW,755,0.5182212825040545,-9.07038080604068,0.0,1.0,0.0,1.0,0.0
4,LOW → LOW → MEDIUM → MEDIUM,HIGH,369,0.3514700101931366,-8.926852243906362,0.0,1.0,0.0,1.0,0.0
4,MEDIUM → MEDIUM → HIGH → MEDIUM,MEDIUM,398,1.6202293553875584,8.904032297983747,0.0,1.0,0.0,1.0,0.0
4,LOW → MEDIUM → MEDIUM → MEDIUM,HIGH,411,0.40878504337493043,-8.588581136783155,0.0,1.0,0.0,1.0,0.0
4,MEDIUM → LOW → MEDIUM → LOW,HIGH,246,0.2516205754791774,-8.410939165631504,0.0,1.0,0.0,1.0,0.0
4,MEDIUM → MEDIUM → MEDIUM → MEDIUM,HIGH,1051,0.6422361242827229,-8.31099352987115,0.0,1.0,0.0,1.0,0.0
4,HIGH → MEDIUM → MEDIUM → MEDIUM,MEDIUM,511,1.5085917767820431,8.273183500605809,2.220446049250313e-16,1.0,0.0,1.0,8.198570028001156e-16
4,HIGH → HIGH → MEDIUM → MEDIUM,MEDIUM,415,1.5609215075704148,8.222786498004112,2.220446049250313e-16,1.0,0.0,1.0,8.198570028001156e-16
4,MEDIUM → HIGH → HIGH → MEDIUM,MEDIUM,274,1.6902206832148514,8.221595840462248,2.220446049250313e-16,1.0,0.0,1.0,8.198570028001156e-16
3,MEDIUM → LOW → MEDIUM,MEDIUM,679,1.433593153843892,8.128652656187823,4.440892098500626e-16,1.0,0.0,1.0,1.6044513388131294e-15
4,MEDIUM → LOW → MEDIUM → LOW,LOW,246,1.755397362586066,8.119628425676314,4.440892098500626e-16,1.0,0.0,1.0,1.6044513388131294e-15
4,HIGH → MEDIUM → MEDIUM → MEDIUM,LOW,511,0.48989222745531324,-7.902518634276234,2.6645352591003757e-15,1.0,0.0,1.0,9.52429624529496e-15
4,HIGH → MEDIUM → MEDIUM → HIGH,HIGH,302,1.629939527252533,7.844358459517492,4.440892098500626e-15,1.0,0.001,1.0,1.570673415890748e-14
3,MEDIUM → MEDIUM → MEDIUM,LOW,1973,0.7424563931474206,-7.838243479876188,4.6629367034256575e-15,1.0,0.001,1.0,1.63202784619898e-14
4,MEDIUM → HIGH → MEDIUM → HIGH,LOW,222,0.23962239751713435,-7.764239808914133,8.215650382226158e-15,1.0,0.001,1.0,2.8458335344618445e-14
4,LOW → MEDIUM → LOW → MEDIUM,HIGH,221,0.28008444148360917,-7.668895074563368,1.7319479184152442e-14,1.0,0.001,1.0,5.938107148852266e-14
4,HIGH → MEDIUM → HIGH → MEDIUM,MEDIUM,251,1.669933602544866,7.637680650909099,2.220446049250313e-14,1.0,0.001,1.0,7.536059318667729e-14
4,MEDIUM → HIGH → HIGH → MEDIUM,LOW,274,0.33119128278559706,-7.587004541224783,3.26405569239796e-14,1.0,0.001,1.0,1.0967227126457147e-13
