truc,pair,bien,lag,n,F,q,p_tiem_can,p_hac,cot_manh,he_so,t_manh,dau,p_hoan_vi,p_wy,q_fdr
huong,EURUSD,OVXCLS,2,3050,0.5332375963700331,6,0.7833783695035035,0.2768879084783247,OVXCLS_ad5_L2,0.040528561279482844,1.3659615154236113,1,0.7982017982017982,1.0,0.9331609566903684
huong,EURUSD,OVXCLS,5,3050,0.6599029450565784,6,0.6821649148318083,0.221653636583504,OVXCLS_d5_L5,0.03949868012630583,1.6809697432663864,1,0.6593406593406593,1.0,0.8703296703296703
huong,EURUSD,DCOILBRENTEU,1,3050,0.9282605832074667,6,0.4732610919729391,0.315999334429767,DCOILBRENTEU_lv_L1,-0.025978862875267808,-1.3769298363116567,-1,0.46353646353646355,1.0,0.7303465765004227
huong,EURUSD,DCOILBRENTEU,2,3050,0.9148442318680022,6,0.48294180432364986,0.47425449825656296,DCOILBRENTEU_lv_L2,-0.026387584203009965,-1.3992647169518158,-1,0.46253746253746253,1.0,0.7303465765004227
huong,EURUSD,DCOILBRENTEU,5,3050,0.9547637925942234,6,0.4544609573169429,0.33572463932499397,DCOILBRENTEU_lv_L5,-0.030312996522228235,-1.6093978013528352,-1,0.43756243756243757,1.0,0.7098242357097944
huong,EURUSD,NIKKEI225,1,3045,0.25293782625900446,6,0.9582732719590199,0.9382538805913911,NIKKEI225_d1_L1,-0.017453211448394575,-0.9976484906235163,-1,0.9630369630369631,1.0,0.9876561794370013
huong,EURUSD,NIKKEI225,2,3044,0.19574327553695803,6,0.9781012366962907,0.9796451465715925,NIKKEI225_d5_L2,0.012587562938727821,0.7293300508004794,1,0.971028971028971,1.0,0.9876561794370013
huong,EURUSD,NIKKEI225,5,3044,0.31506542404601046,6,0.9294409931324712,0.8701530716587684,NIKKEI225_d1_L5,-0.020366910287014848,-1.1668212183404847,-1,0.9330669330669331,1.0,0.973395026026605
huong,EURUSD,chenh_ls,1,3050,1.5230150789931862,5,0.1791225603876614,0.0797227087714164,d_chenh_ls_L1,0.13836131506565105,2.317506737068207,1,0.16183816183816183,1.0,0.433026433026433
huong,EURUSD,chenh_ls,2,3050,1.5230150789931862,5,0.1791225603876614,0.0797227087714164,d_chenh_ls_L2,0.13836131506565105,2.317506737068207,1,0.18081918081918083,1.0,0.46295945433876473
huong,EURUSD,chenh_ls,5,3050,1.5230150789931862,5,0.1791225603876614,0.0797227087714164,d_chenh_ls_L5,0.13836131506565105,2.317506737068207,1,0.18081918081918083,1.0,0.46295945433876473
huong,EURUSD,su_kien_phi_nhtw,1,3050,0.9289593160304681,3,0.4257997592530379,0.49158009616740717,sk_dem5_L1,0.013407084452695377,1.0232575663152697,1,0.42157842157842157,1.0,0.6975420123052435
huong,EURUSD,su_kien_phi_nhtw,2,3050,0.6301976805163331,3,0.5954809183458631,0.5937992290701897,sk_ngay_L2,0.040811798879884904,1.0671255721142259,1,0.5854145854145855,1.0,0.812319930649397
huong,EURUSD,su_kien_phi_nhtw,5,3050,3.0717167781200336,3,0.026713321656695377,0.05747767577737373,sk_ngay_L5,-0.07996741292968998,-2.24992644280334,-1,0.023976023976023976,1.0,0.1468222499150334
huong,GBPUSD,DGS2,1,3050,0.7114580578968865,6,0.6403836063069008,0.5274894655328537,DGS2_d5_L1,0.01694656381971254,1.2315583281254416,1,0.6093906093906094,1.0,0.8283249930847185
huong,GBPUSD,DGS2,2,3050,0.621013776392936,6,0.7136646263835045,0.7316777776885848,DGS2_d5_L2,0.020595311949222997,1.5298260613864232,1,0.6843156843156843,1.0,0.8836598184424271
huong,GBPUSD,DGS2,5,3050,0.398883045892648,6,0.880144607236429,0.7297427695208543,DGS2_ad5_L5,-0.014206265401828238,-0.9682110895040702,-1,0.8821178821178821,1.0,0.9670722837091352
huong,GBPUSD,DGS10,1,3050,1.2275430488940176,6,0.2887317682549184,0.1565052321876832,DGS10_ad5_L1,0.028739483603698875,1.4698858182466543,1,0.2647352647352647,1.0,0.5598571040267153
huong,GBPUSD,DGS10,2,3050,2.032276953603215,6,0.058128783086382696,0.03674247332864089,DGS10_d5_L2,0.045244601356856776,2.3552018769395224,1,0.06293706293706294,1.0,0.2543171114599686
