Date,open,high,low,close,n_bars
2010-06-02,1.0537,1.0571,1.0371,1.0389,1385
2010-06-03,1.0389,1.0462,1.0333,1.0401,1337
2010-06-04,1.04,1.0626,1.0365,1.0626,1215
2010-06-06,1.0624,1.0642,1.0595,1.0637,142
2010-06-07,1.0635,1.0677,1.0514,1.0592,1400
2010-06-08,1.0593,1.0594,1.0468,1.0485,1374
2010-06-09,1.0484,1.0514,1.0363,1.0431,1380
2010-06-10,1.0431,1.0447,1.0286,1.0299,1361
2010-06-11,1.0299,1.0388,1.0297,1.0317,1239
2010-06-13,1.0317,1.0347,1.0295,1.0295,129
2010-06-14,1.0295,1.0349,1.0223,1.0331,1359
2010-06-15,1.0331,1.036,1.024,1.0259,1349
2010-06-16,1.0258,1.0323,1.0223,1.0257,1264
2010-06-17,1.0257,1.0337,1.0223,1.0286,1332
2010-06-18,1.0286,1.0311,1.0206,1.0215,1210
2010-06-20,1.0182,1.0207,1.017,1.0173,162
2010-06-21,1.0171,1.026,1.0137,1.0231,1338
2010-06-22,1.0231,1.0295,1.018,1.0283,1331
2010-06-23,1.0283,1.0458,1.0281,1.0395,1302
2010-06-24,1.0394,1.0466,1.0371,1.0423,1257
2010-06-25,1.0422,1.0438,1.0337,1.0348,1192
2010-06-27,1.0338,1.0366,1.0338,1.0351,102
2010-06-28,1.0353,1.0368,1.0317,1.0348,1208
2010-06-29,1.0347,1.0573,1.0339,1.0541,1313
2010-06-30,1.054,1.0645,1.0463,1.0628,1322
2010-07-01,1.0629,1.067,1.0574,1.0585,1322
2010-07-02,1.0586,1.0665,1.0553,1.062,1195
2010-07-04,1.0614,1.0642,1.0614,1.0637,89
2010-07-05,1.0638,1.0673,1.0573,1.0655,1106
2010-07-06,1.0656,1.0673,1.0481,1.0525,1291
2010-07-07,1.0524,1.0602,1.046,1.0476,1304
2010-07-08,1.0475,1.0477,1.0376,1.0431,1253
2010-07-09,1.043,1.0451,1.0292,1.0334,1097
2010-07-11,1.0318,1.033,1.0314,1.0319,112
2010-07-12,1.032,1.0382,1.0297,1.0345,1215
2010-07-13,1.0344,1.0382,1.0273,1.0305,1207
2010-07-14,1.0306,1.0367,1.0282,1.0329,1222
2010-07-15,1.0328,1.0439,1.028,1.0384,1303
2010-07-16,1.0385,1.058,1.0378,1.0578,1173
2010-07-18,1.056,1.0575,1.0546,1.0574,129
2010-07-19,1.0573,1.0577,1.0495,1.054,1253
2010-07-20,1.0541,1.0583,1.0419,1.0423,1290
2010-07-21,1.0424,1.0498,1.0348,1.0468,1271
2010-07-22,1.0469,1.05,1.0352,1.0361,1285
2010-07-23,1.036,1.0434,1.0342,1.0353,1152
2010-07-25,1.0378,1.0383,1.0363,1.0366,87
2010-07-26,1.0365,1.0374,1.0299,1.0319,1238
2010-07-27,1.0318,1.0391,1.0252,1.0352,1215
2010-07-28,1.0353,1.0387,1.0295,1.0371,1293
2010-07-29,1.0372,1.0388,1.0299,1.0353,1258
2010-07-30,1.0354,1.0372,1.0261,1.0292,1152
2010-08-01,1.0283,1.0298,1.0279,1.0287,99
2010-08-02,1.0286,1.0286,1.02,1.0223,1210
2010-08-03,1.0224,1.027,1.0216,1.0233,1234
2010-08-04,1.0234,1.0268,1.0159,1.0178,1229
2010-08-05,1.0177,1.0178,1.0104,1.0169,1158
2010-08-06,1.017,1.0302,1.0143,1.0271,1024
2010-08-08,1.0266,1.0284,1.0262,1.0281,83
2010-08-09,1.028,1.0296,1.0252,1.0274,1102
2010-08-10,1.0273,1.0385,1.0273,1.0305,1208
2010-08-11,1.0306,1.0477,1.0301,1.0466,1264
2010-08-12,1.0467,1.049,1.0415,1.042,1281
2010-08-13,1.0421,1.0435,1.0346,1.0415,1139
2010-08-15,1.0409,1.0415,1.0404,1.0414,59
2010-08-16,1.0415,1.0461,1.0367,1.0426,1223
2010-08-17,1.0427,1.0433,1.0305,1.0322,1250
2010-08-18,1.0323,1.0338,1.0263,1.0291,1181
2010-08-19,1.029,1.0412,1.0244,1.0392,1237
2010-08-20,1.0393,1.0511,1.0378,1.047,1117
2010-08-22,1.049,1.0497,1.0482,1.049,92
2010-08-23,1.0491,1.0541,1.0441,1.0536,1212
2010-08-24,1.0537,1.0661,1.0532,1.0597,1309
2010-08-25,1.0596,1.0664,1.057,1.059,1250
2010-08-26,1.0589,1.0598,1.0517,1.0578,1234
2010-08-27,1.0579,1.0645,1.0502,1.0503,1105
2010-08-29,1.0491,1.0507,1.0475,1.049,113
2010-08-30,1.0491,1.0601,1.0468,1.0596,1232
2010-08-31,1.0597,1.0669,1.0571,1.0644,1239
2010-09-01,1.0643,1.0648,1.048,1.051,1267
2010-09-02,1.0511,1.0552,1.0468,1.0535,1173
2010-09-03,1.0534,1.0565,1.0378,1.0384,1083
2010-09-05,1.0394,1.0397,1.0384,1.0385,77
2010-09-06,1.0386,1.0401,1.0336,1.0375,935
2010-09-07,1.0374,1.0482,1.0349,1.0473,1264
2010-09-08,1.0472,1.0505,1.0342,1.0368,1228
2010-09-09,1.0369,1.0391,1.0297,1.0335,1234
2010-09-10,1.0334,1.037,1.0283,1.0366,1127
2010-09-12,1.0332,1.034,1.0316,1.0317,117
2010-09-13,1.0316,1.0342,1.0261,1.0282,1193
2010-09-14,1.0281,1.0302,1.0212,1.0262,1204
2010-09-15,1.0263,1.0317,1.0247,1.0257,1314
2010-09-16,1.0256,1.0286,1.0235,1.0268,1196
2010-09-17,1.0267,1.0346,1.0212,1.0329,1087
2010-09-19,1.0321,1.0343,1.0314,1.0339,108
2010-09-20,1.0338,1.0341,1.0257,1.0301,1181
2010-09-21,1.0302,1.0327,1.0213,1.0238,1232
