Date,open,high,low,close,n_bars
2015-07-02,0.94876,0.95035,0.94182,0.94361,1434
2015-07-03,0.9436,0.94412,0.93921,0.93921,1258
2015-07-05,0.94253,0.94481,0.94116,0.94436,179
2015-07-06,0.94434,0.94716,0.94079,0.94303,1432
2015-07-07,0.94304,0.95153,0.94271,0.94662,1438
2015-07-08,0.94662,0.95102,0.94085,0.94571,1433
2015-07-09,0.94571,0.95149,0.94248,0.94772,1435
2015-07-10,0.94773,0.94793,0.93297,0.9374,1258
2015-07-12,0.94126,0.94158,0.93814,0.94015,179
2015-07-13,0.9401,0.95092,0.93673,0.95078,1432
2015-07-14,0.95078,0.95321,0.94019,0.94496,1427
2015-07-15,0.94496,0.95474,0.94473,0.9528,1432
2015-07-16,0.95279,0.95839,0.95226,0.9573,1427
2015-07-17,0.95733,0.96187,0.95571,0.96155,1259
2015-07-19,0.96095,0.96275,0.96028,0.96244,178
2015-07-20,0.96244,0.9649,0.96003,0.96349,1434
2015-07-21,0.96349,0.96484,0.95599,0.95807,1432
2015-07-22,0.95806,0.9632,0.9561,0.95984,1437
2015-07-23,0.95982,0.96031,0.95255,0.95949,1431
2015-07-24,0.95949,0.96354,0.95738,0.96181,1260
2015-07-26,0.96145,0.96313,0.96145,0.96262,175
2015-07-27,0.96262,0.96327,0.95304,0.96215,1435
2015-07-28,0.96214,0.96741,0.96045,0.96159,1437
2015-07-29,0.9616,0.96892,0.95984,0.96748,1437
2015-07-30,0.96748,0.97189,0.96747,0.96827,1434
2015-07-31,0.96827,0.96848,0.95484,0.96578,1259
2015-08-02,0.96572,0.96742,0.96516,0.96721,175
2015-08-03,0.96722,0.97021,0.96436,0.96921,1429
2015-08-04,0.9692,0.97897,0.96683,0.9781,1436
2015-08-05,0.97811,0.98215,0.97598,0.97915,1427
2015-08-06,0.97907,0.98475,0.97674,0.98109,1432
2015-08-07,0.98108,0.98836,0.97909,0.98276,1258
2015-08-09,0.98131,0.98384,0.98131,0.98377,177
2015-08-10,0.98376,0.98913,0.98032,0.98365,1433
2015-08-11,0.98367,0.99031,0.9802,0.98811,1420
2015-08-12,0.98811,0.98894,0.96768,0.97545,1429
2015-08-13,0.97546,0.97939,0.973,0.97548,1421
2015-08-14,0.97549,0.97866,0.97277,0.97569,1251
2015-08-16,0.97565,0.97727,0.97523,0.97712,172
2015-08-17,0.97713,0.9798,0.97419,0.97835,1423
2015-08-18,0.97833,0.97957,0.97515,0.97748,1430
