Date,open,high,low,close,n_bars
2024-04-05,0.65872,0.6592,0.65488,0.65773,1257
2024-04-07,0.65743,0.65753,0.65675,0.65693,177
2024-04-08,0.65693,0.66095,0.65589,0.66046,1432
2024-04-09,0.66045,0.6644,0.65982,0.66278,1432
2024-04-10,0.66278,0.66309,0.64982,0.65069,1436
2024-04-11,0.65068,0.65525,0.65015,0.654,1433
2024-04-12,0.65402,0.65428,0.64555,0.64602,1260
2024-04-14,0.64639,0.64783,0.64605,0.6474,176
2024-04-15,0.64742,0.64928,0.64373,0.64413,1431
2024-04-16,0.64411,0.64431,0.63886,0.6412,1437
2024-04-17,0.64119,0.64457,0.64024,0.64382,1434
2024-04-18,0.64382,0.64562,0.6416,0.6423,1431
2024-04-19,0.64229,0.64326,0.63618,0.64158,1260
2024-04-21,0.64092,0.64263,0.64092,0.64247,172
2024-04-22,0.64249,0.64551,0.6423,0.64514,1425
2024-04-23,0.64513,0.64898,0.64406,0.64877,1426
2024-04-24,0.64877,0.65293,0.64828,0.64972,1432
2024-04-25,0.64974,0.65385,0.64848,0.65214,1426
2024-04-26,0.65215,0.65537,0.65168,0.65319,1260
2024-04-28,0.65235,0.65417,0.6523,0.65413,163
2024-04-29,0.65415,0.65863,0.6536,0.656,1423
2024-04-30,0.65599,0.65644,0.64673,0.64743,1434
2024-05-01,0.64747,0.65398,0.64648,0.65295,1435
2024-05-02,0.65293,0.6574,0.65152,0.65695,1435
2024-05-03,0.65693,0.66485,0.65641,0.66081,1257
2024-05-05,0.66145,0.6618,0.66043,0.66081,171
2024-05-06,0.66081,0.66381,0.66048,0.66228,1428
2024-05-07,0.6623,0.66432,0.65861,0.65881,1433
2024-05-08,0.65879,0.65937,0.65575,0.65772,1427
2024-05-09,0.65771,0.66225,0.65649,0.66164,1427
2024-05-10,0.66166,0.66219,0.65956,0.66008,1243
2024-05-12,0.6599,0.66064,0.65989,0.65997,171
2024-05-13,0.65993,0.66283,0.65853,0.66106,1420
2024-05-14,0.66105,0.66273,0.65786,0.66233,1415
2024-05-15,0.66235,0.67013,0.66211,0.66995,1432
2024-05-16,0.66996,0.67137,0.66537,0.66817,1425
2024-05-17,0.66817,0.67006,0.66484,0.66922,1252
2024-05-19,0.66904,0.67031,0.66894,0.6699,169
2024-05-20,0.66991,0.67089,0.66615,0.66712,1415
2024-05-21,0.66714,0.66787,0.66461,0.66657,1413
2024-05-22,0.66659,0.66848,0.66074,0.66179,1436
2024-05-23,0.66181,0.66527,0.65972,0.66002,1431
2024-05-24,0.66,0.66361,0.65917,0.66272,1253
2024-05-26,0.66219,0.66342,0.66218,0.66222,174
2024-05-27,0.66223,0.66595,0.66222,0.66554,1391
2024-05-28,0.66554,0.66794,0.66412,0.66473,1430
2024-05-29,0.66474,0.66653,0.66056,0.66131,1423
2024-05-30,0.66132,0.66472,0.65904,0.66292,1431
2024-05-31,0.66293,0.66724,0.66263,0.66513,1258
2024-06-02,0.6646,0.66563,0.6646,0.66552,178
2024-06-03,0.66552,0.66947,0.66321,0.66892,1433
2024-06-04,0.66894,0.66984,0.66305,0.66451,1419
2024-06-05,0.66453,0.6664,0.66256,0.6655,1430
2024-06-06,0.6655,0.6683,0.6633,0.66692,1433
2024-06-07,0.66692,0.66808,0.65785,0.65788,1260
2024-06-09,0.65785,0.65829,0.65753,0.65815,163
2024-06-10,0.65816,0.66118,0.65756,0.6607,1421
2024-06-11,0.66071,0.66132,0.65882,0.66072,1407
2024-06-12,0.66073,0.6704,0.65968,0.66628,1436
2024-06-13,0.66631,0.66749,0.66251,0.66306,1432
2024-06-14,0.66307,0.66412,0.6591,0.66135,1259
2024-06-16,0.65979,0.66174,0.65979,0.6612,172
2024-06-17,0.6612,0.66189,0.65849,0.66173,1421
2024-06-18,0.66172,0.66617,0.65995,0.66608,1420
2024-06-19,0.66606,0.6677,0.66591,0.66734,1373
2024-06-20,0.66734,0.66789,0.66471,0.66602,1417
2024-06-21,0.66601,0.66693,0.66312,0.66398,1258
2024-06-23,0.66349,0.66414,0.66331,0.66342,172
2024-06-24,0.66343,0.66673,0.66257,0.66535,1432
2024-06-25,0.66537,0.66723,0.66347,0.6644,1419
2024-06-26,0.66439,0.66882,0.66356,0.66449,1432
2024-06-27,0.66449,0.66721,0.66396,0.66495,1426
2024-06-28,0.66497,0.66841,0.66195,0.66676,1257
2024-06-30,0.66792,0.66804,0.66722,0.66733,177
2024-07-01,0.66735,0.6688,0.66435,0.66538,1430
2024-07-02,0.66537,0.66703,0.66336,0.66681,1425
2024-07-03,0.66683,0.67331,0.66647,0.67115,1413
2024-07-04,0.67114,0.67313,0.67098,0.67243,1295
2024-07-05,0.67242,0.67524,0.67093,0.67471,1253
2024-07-07,0.67355,0.67488,0.67346,0.67458,180
2024-07-08,0.67456,0.67607,0.67315,0.67423,1418
2024-07-09,0.67426,0.67473,0.67235,0.67412,1416
2024-07-10,0.67413,0.67518,0.67314,0.67511,1419
2024-07-11,0.67513,0.67983,0.67468,0.67694,1430
2024-07-12,0.67692,0.67933,0.67536,0.67823,1259
2024-07-14,0.6769,0.67783,0.67626,0.67703,176
2024-07-15,0.67702,0.67883,0.67521,0.6762,1426
2024-07-16,0.6762,0.67625,0.67143,0.67314,1437
2024-07-17,0.67312,0.67544,0.67205,0.67301,1431
2024-07-18,0.67302,0.67431,0.66972,0.67033,1429
2024-07-19,0.67033,0.6707,0.66797,0.66834,1249
2024-07-21,0.6688,0.67018,0.66833,0.66954,172
2024-07-22,0.66952,0.66954,0.6631,0.66381,1408
2024-07-23,0.66382,0.66455,0.66105,0.66115,1430
2024-07-24,0.66116,0.66128,0.65721,0.65732,1432
2024-07-25,0.65729,0.65737,0.65125,0.65396,1436
2024-07-26,0.65395,0.65681,0.65394,0.65462,1250
2024-07-28,0.65474,0.65601,0.65463,0.65525,173
2024-07-29,0.65524,0.6568,0.65237,0.65506,1418
2024-07-30,0.65507,0.6562,0.65286,0.65399,1435
2024-07-31,0.65397,0.65555,0.64792,0.6548,1437
2024-08-01,0.6548,0.65595,0.64884,0.64931,1437
2024-08-02,0.64931,0.65472,0.64863,0.65093,1258
2024-08-04,0.65098,0.65173,0.64941,0.64973,177
2024-08-05,0.64973,0.65221,0.63481,0.65148,1436
2024-08-06,0.65151,0.65412,0.64719,0.65139,1436
2024-08-07,0.65139,0.65742,0.65069,0.65179,1438
2024-08-08,0.6518,0.65942,0.65096,0.65905,1434
2024-08-09,0.65902,0.66049,0.65662,0.65712,1260
2024-08-11,0.65664,0.65752,0.65646,0.65683,166
2024-08-12,0.65682,0.66046,0.65674,0.65846,1431
2024-08-13,0.65847,0.66388,0.65786,0.66371,1433
2024-08-14,0.66374,0.66425,0.65897,0.65971,1433
2024-08-15,0.65972,0.66341,0.65626,0.66117,1428
2024-08-16,0.66117,0.6671,0.66097,0.66672,1251
2024-08-18,0.66626,0.6676,0.66568,0.66722,177
2024-08-19,0.66723,0.67379,0.66715,0.67334,1431
2024-08-20,0.67335,0.67488,0.67127,0.67458,1432
2024-08-21,0.67459,0.67607,0.67304,0.67489,1434
2024-08-22,0.6749,0.67523,0.66967,0.67064,1430
2024-08-23,0.67065,0.6798,0.67044,0.67957,1258
2024-08-25,0.67868,0.67967,0.67848,0.67869,177
2024-08-26,0.6787,0.67961,0.67662,0.67724,1436
2024-08-27,0.67726,0.67951,0.67612,0.67868,1435
2024-08-28,0.67868,0.68125,0.67639,0.67826,1433
2024-08-29,0.67828,0.68235,0.67826,0.67953,1435
2024-08-30,0.67954,0.68162,0.6751,0.67638,1255
