ghi_luc,pair,ngay,h,p_giam,p_ngang,p_tang,b_pip,sigma_pip,che_do,mo_hinh,ma_cau_hinh
2026-09-08T17:19:35Z,GBPUSD,2026-09-09,20,0.2658,0.5523,0.182,125.22,188.57,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,USDJPY,2026-09-09,1,0.3767,0.2141,0.4091,25.94,100.35,2,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-08T17:19:35Z,USDJPY,2026-09-09,5,0.3665,0.1963,0.4372,56.95,234.67,2,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,USDJPY,2026-09-09,20,0.3671,0.1492,0.4836,94.83,474.53,2,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,AUDUSD,2026-09-09,1,0.2842,0.4312,0.2846,13.77,26.67,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-08T17:19:35Z,AUDUSD,2026-09-09,5,0.2761,0.4678,0.2562,33.29,56.47,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,AUDUSD,2026-09-09,20,0.25,0.5895,0.1605,78.08,115.79,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,USDCAD,2026-09-09,1,0.3303,0.309,0.3608,15.7,48.22,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-08T17:19:35Z,USDCAD,2026-09-09,5,0.3124,0.3188,0.3688,41.21,104.08,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,USDCAD,2026-09-09,20,0.2442,0.3799,0.3759,97.93,225.38,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,USDCHF,2026-09-09,1,0.317,0.3432,0.3398,12.66,34.85,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-08T17:19:35Z,USDCHF,2026-09-09,5,0.3808,0.2687,0.3506,28.83,85.91,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-08T17:19:35Z,USDCHF,2026-09-09,20,0.3368,0.3695,0.2937,71.17,151.25,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,EURUSD,2026-09-10,1,0.3579,0.2855,0.3566,15.02,46.05,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-09T17:13:30Z,EURUSD,2026-09-10,5,0.3644,0.3111,0.3246,42.22,102.28,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,EURUSD,2026-09-10,20,0.385,0.3155,0.2995,76.98,201.3,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,GBPUSD,2026-09-10,1,0.283,0.4326,0.2844,21.68,42.89,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-09T17:13:30Z,GBPUSD,2026-09-10,5,0.2848,0.4471,0.2681,57.24,98.73,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,GBPUSD,2026-09-10,20,0.278,0.5264,0.1957,125.44,198.55,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,USDJPY,2026-09-10,1,0.371,0.228,0.401,25.85,94.42,2,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-09T17:13:30Z,USDJPY,2026-09-10,5,0.3585,0.2178,0.4237,56.75,220.82,2,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,USDJPY,2026-09-10,20,0.3639,0.1612,0.4749,94.5,446.53,2,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,AUDUSD,2026-09-10,1,0.2856,0.4285,0.2859,13.77,26.86,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-09T17:13:30Z,AUDUSD,2026-09-10,5,0.2776,0.4646,0.2578,33.29,56.88,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,AUDUSD,2026-09-10,20,0.2492,0.5863,0.1645,78.07,116.64,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,USDCAD,2026-09-10,1,0.328,0.3123,0.3597,15.9,48.12,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-09T17:13:30Z,USDCAD,2026-09-10,5,0.3119,0.3246,0.3636,41.73,103.86,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,USDCAD,2026-09-10,20,0.2444,0.3842,0.3714,99.17,224.9,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,USDCHF,2026-09-10,1,0.3465,0.3047,0.3489,12.69,36.31,1,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-09T17:13:30Z,USDCHF,2026-09-10,5,0.3286,0.2999,0.3715,29.85,89.49,1,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-09T17:13:30Z,USDCHF,2026-09-10,20,0.3355,0.3131,0.3514,58.66,157.58,1,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,EURUSD,2026-09-11,1,0.305,0.3905,0.3045,15.08,32.9,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-10T17:04:22Z,EURUSD,2026-09-11,5,0.3275,0.3895,0.283,36.98,73.06,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,EURUSD,2026-09-11,20,0.3589,0.3676,0.2735,64.88,143.77,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,GBPUSD,2026-09-11,1,0.2761,0.4463,0.2776,21.61,41.12,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-10T17:04:22Z,GBPUSD,2026-09-11,5,0.2766,0.465,0.2583,57.07,94.63,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,GBPUSD,2026-09-11,20,0.2682,0.5475,0.1844,125.08,190.26,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,USDJPY,2026-09-11,1,0.3483,0.2647,0.3869,25.94,85.72,2,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-10T17:04:22Z,USDJPY,2026-09-11,5,0.306,0.2432,0.4507,56.96,200.46,2,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,USDJPY,2026-09-11,20,0.2921,0.2059,0.502,94.83,405.33,2,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,AUDUSD,2026-09-11,1,0.2897,0.4205,0.2899,13.66,27.23,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-10T17:04:22Z,AUDUSD,2026-09-11,5,0.2846,0.4547,0.2607,33.03,57.66,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,AUDUSD,2026-09-11,20,0.2536,0.5742,0.1722,77.47,118.22,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,USDCAD,2026-09-11,1,0.3248,0.3148,0.3604,16.11,48.53,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-10T17:04:22Z,USDCAD,2026-09-11,5,0.3108,0.3267,0.3625,42.28,104.73,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,USDCAD,2026-09-11,20,0.2418,0.3887,0.3695,100.48,226.7,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,USDCHF,2026-09-11,1,0.3185,0.3394,0.3421,12.75,35.66,1,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-10T17:04:22Z,USDCHF,2026-09-11,5,0.3792,0.2711,0.3498,30.01,87.91,1,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-10T17:04:22Z,USDCHF,2026-09-11,20,0.3631,0.3144,0.3224,58.96,154.77,1,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,EURUSD,2026-09-14,1,0.3062,0.3882,0.3056,15.11,33.2,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-11T17:05:28Z,EURUSD,2026-09-14,5,0.3013,0.4436,0.2552,42.48,73.72,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,EURUSD,2026-09-14,20,0.3278,0.4234,0.2488,77.44,145.07,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,GBPUSD,2026-09-14,1,0.2761,0.4463,0.2776,21.62,41.14,0,tổ hợp trực tuyến,2026-01-01|2021-10-13
2026-09-11T17:05:28Z,GBPUSD,2026-09-14,5,0.2766,0.465,0.2583,57.1,94.68,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,GBPUSD,2026-09-14,20,0.2679,0.547,0.185,125.14,190.36,0,σ̂ + chế độ (cuộn),2026-01-01|2021-10-13
2026-09-11T17:05:28Z,USDJPY,2026-09-14,1,0.3468,0.2668,0.3865,25.85,84.9,2,tổ hợp trực tuyến,2026-01-01|2021-10-13
