pair,Date,rv_kiem,n_o,j_bcl,j_tho,n_nhay_bcl,n_nhay_tho,ti_chuky
AUDUSD,2024-11-27,3.741171414284314e-05,287,4.495205111126477e-06,3.5968330480361374e-06,3,2,0.9639567675791415
AUDUSD,2024-11-28,4.153789270004373e-05,287,2.2431507021543307e-05,2.5534937394344916e-05,5,9,1.533560263365021
AUDUSD,2024-11-29,2.471776200307624e-05,263,0.0,1.953173599520322e-06,0,1,0.85990438455779
AUDUSD,2024-12-02,3.1096259184409586e-05,287,3.377284697674638e-06,4.8207028091291765e-06,1,2,1.4964685322908322
AUDUSD,2024-12-03,3.10402134784293e-05,287,5.714534356087729e-07,5.067486498136604e-06,1,3,0.975374894810584
AUDUSD,2024-12-04,4.171394755172253e-05,287,3.665863649040443e-06,7.221359298406825e-06,1,2,0.9955033767941437
AUDUSD,2024-12-05,2.4936067158908974e-05,287,2.7813069544909483e-06,2.004310380164136e-06,3,1,0.9136014843347195
AUDUSD,2024-12-06,5.252410803860673e-05,263,1.4552302526317219e-05,2.357022848439691e-05,2,6,0.7172218121118263
AUDUSD,2024-12-09,3.16739570072988e-05,287,0.0,3.962525302051065e-06,0,2,1.2139274377201592
AUDUSD,2024-12-10,4.196790364172175e-05,287,9.275199053140146e-06,9.275199053140146e-06,1,1,1.0709081584248445
AUDUSD,2024-12-11,5.5409449794731745e-05,287,1.9213387352922192e-05,2.468705971706383e-05,2,5,0.8349003552861273
AUDUSD,2024-12-12,5.9668028772264314e-05,287,2.4763096332480706e-05,2.8057748601530946e-05,2,4,0.8085731479259481
AUDUSD,2024-12-13,2.0437720678978267e-05,263,0.0,0.0,0,0,0.9794381622655031
AUDUSD,2024-12-16,1.9745610145088355e-05,287,0.0,8.896048789190745e-07,0,1,1.3354301855844133
AUDUSD,2024-12-17,1.719529269375932e-05,287,8.374094811683902e-07,8.374094811683902e-07,1,1,1.0397962097345728
AUDUSD,2024-12-18,6.994186291522478e-05,287,5.027851196715195e-05,4.488666275222957e-05,16,9,1.2069740825559778
AUDUSD,2024-12-19,3.44356201259658e-05,287,1.9662198194111446e-06,1.9662198194111446e-06,1,1,0.9722396899187072
AUDUSD,2024-12-20,3.4396751221573446e-05,263,0.0,4.1208452228555324e-06,0,2,0.951632307880646
AUDUSD,2024-12-23,2.5526306376103245e-05,287,4.344918210256504e-06,4.344918210256504e-06,2,2,1.4934427146092577
AUDUSD,2024-12-24,2.7413971089033967e-05,279,8.981119177585284e-06,6.47224119814303e-06,8,3,1.4322755647927325
AUDUSD,2024-12-26,1.4795040836045698e-05,287,1.025015480660204e-06,1.025015480660204e-06,1,1,1.080535911813219
AUDUSD,2024-12-27,2.128304987172646e-05,263,0.0,1.1646550241855016e-06,0,1,0.9951373528187614
AUDUSD,2024-12-30,3.287418916930718e-05,287,7.580178258705564e-06,1.0118591222298803e-05,2,4,1.467353586452008
AUDUSD,2024-12-31,2.3699202548968887e-05,263,2.4730760762567506e-06,1.133158249197901e-06,3,1,0.9949538820304461
AUDUSD,2025-01-02,3.692668784645986e-05,287,3.901877848053561e-06,3.901877848053561e-06,2,2,1.118779467978298
AUDUSD,2025-01-03,2.0492926912524304e-05,263,0.0,1.2693035794129413e-06,0,1,0.9834815208804517
AUDUSD,2025-01-06,8.296705196709323e-05,287,4.9935890803458256e-05,5.2495888530680806e-05,8,9,0.9162868304542036
AUDUSD,2025-01-07,3.698901181863551e-05,287,9.32050018670028e-06,1.0613829890014415e-05,1,2,0.8597862714625137
AUDUSD,2025-01-08,4.58285809893246e-05,287,1.0442428423936312e-05,1.2690289664226066e-05,4,5,0.8772217572666728
AUDUSD,2025-01-09,2.2044721476895013e-05,287,5.761134328350803e-06,6.7407574434503266e-06,5,6,0.8494983466397458
AUDUSD,2025-01-10,8.917365955074313e-05,263,5.521295774484215e-05,6.500767766213471e-05,2,8,0.5152715801850349
AUDUSD,2025-01-13,4.145549569269737e-05,287,8.318547216499077e-06,4.082076582432882e-06,5,1,1.6966602837065612
AUDUSD,2025-01-14,3.49255775313818e-05,287,4.1000824730496744e-06,7.015909610632957e-06,1,3,0.8964189273629584
AUDUSD,2025-01-15,5.8919071044872394e-05,287,3.161261082943588e-05,3.80952590285705e-05,4,9,0.7266522982626056
AUDUSD,2025-01-16,3.9123607112515925e-05,287,1.0004295656009621e-05,1.1280161901921232e-05,3,4,0.8213958541287677
AUDUSD,2025-01-17,4.0635639893387355e-05,263,0.0,1.4425316941385786e-05,0,5,0.7805547075424076
AUDUSD,2025-01-20,0.00015373796825364256,287,0.00011739278743222911,0.00011444372047240876,9,7,0.9635028720509083
AUDUSD,2025-01-21,7.87522869967462e-05,287,3.76975224883561e-05,4.301500959980005e-05,5,8,0.9466530101508783
AUDUSD,2025-01-22,2.5603492936369225e-05,287,0.0,1.35244871193623e-06,0,1,0.9096670379840188
AUDUSD,2025-01-23,2.3081259898099578e-05,287,3.7875557166165682e-06,5.123402975132045e-06,4,5,0.9583907023602403
AUDUSD,2025-01-24,3.746823522908094e-05,263,7.469892751793805e-06,8.87984370782493e-06,1,2,1.0470563400275341
AUDUSD,2025-01-27,3.6232526310742236e-05,287,7.170758996572883e-06,6.032038496019915e-06,4,3,1.4722078241580494
AUDUSD,2025-01-28,2.8587584096997443e-05,287,6.59532129776013e-06,8.393775065871276e-06,4,5,0.9691592882355846
AUDUSD,2025-01-29,4.089647522921515e-05,287,2.0846487673568852e-05,1.9318130853190117e-05,5,3,0.9316726974956687
AUDUSD,2025-01-30,5.1705168269959375e-05,287,3.0242334940256546e-05,3.141216797322499e-05,5,5,2.2076184249633184
AUDUSD,2025-01-31,4.9022193140421455e-05,263,2.4503880470018524e-05,2.231393810793644e-05,6,4,1.4298410966010808
AUDUSD,2025-02-03,0.0001423860553718932,287,6.709942054975401e-05,7.137187956593473e-05,7,7,1.394050267916904
AUDUSD,2025-02-04,3.7158923212409324e-05,286,5.778481045729485e-06,8.35948779952213e-06,3,4,1.029593570170629
AUDUSD,2025-02-05,2.598294860451217e-05,287,1.6805036592411218e-06,2.8626585424640083e-06,1,2,0.8630043823142355
AUDUSD,2025-02-06,4.242417125744074e-05,287,2.2567157946724584e-05,2.3483823470444894e-05,2,3,1.620485099346371
AUDUSD,2025-02-07,4.851580915785295e-05,263,2.773752012223622e-05,3.218141576131238e-05,8,10,0.8451580711456197
AUDUSD,2025-02-10,1.9203346087428842e-05,287,3.098555658637337e-06,1.953651651247599e-06,4,2,1.685263533458398
AUDUSD,2025-02-11,1.5735128982398253e-05,287,1.0023375904746325e-06,1.0023375904746325e-06,1,1,1.0613450273511449
AUDUSD,2025-02-12,4.6151674122274115e-05,287,2.3507317952759716e-05,2.3795774150416113e-05,6,6,0.7767724430395127
AUDUSD,2025-02-13,4.1112292660152116e-05,287,9.19199176827407e-06,8.325336560714952e-06,6,4,1.2002557573371488
AUDUSD,2025-02-14,2.3335997417833757e-05,263,0.0,2.578249300978101e-06,0,2,0.8292783420267874
AUDUSD,2025-02-17,1.5573299757201823e-05,287,5.571647816280812e-07,8.01973054392083e-07,2,1,1.3766439285152745
AUDUSD,2025-02-18,3.9961874512079274e-05,287,1.994504779746136e-05,1.952777131904392e-05,5,4,1.111469926545924
AUDUSD,2025-02-19,2.2846251529352296e-05,287,3.989754670088888e-06,5.070998352852542e-06,1,2,0.9745333214359848
