Date,dist,truot_phut,truot_dong,truot_5phut,gio,pair
2010-01-12,0.003,0.4790000000021166,-1.520999999997663,1.4790000000020065,2,EURUSD
2010-01-13,0.001,0.5230000000011614,0.5230000000011614,3.523000000000831,1,EURUSD
2010-01-14,0.001,0.4779999999993123,-0.5220000000005776,4.478000000001092,9,EURUSD
2010-01-14,0.002,1.9559999999985145,-0.0440000000012652,1.9559999999985145,11,EURUSD
2010-01-14,0.003,1.4340000000001574,-4.565999999999182,1.4340000000001574,12,EURUSD
2010-01-14,0.005,3.389999999998672,-6.610000000000227,3.389999999998672,16,EURUSD
2010-01-15,0.001,2.500000000000835,1.500000000000945,9.500000000000064,0,EURUSD
2010-01-15,0.002,1.99999999999978,1.99999999999978,3.99999999999956,1,EURUSD
2010-01-15,0.003,10.499999999997732,10.499999999997732,29.49999999999786,1,EURUSD
2010-01-15,0.005,0.4999999999988347,-10.499999999999954,0.4999999999988347,1,EURUSD
2010-01-15,0.01,2.9999999999996696,0.0,6.999999999999229,19,EURUSD
2010-01-18,0.001,0.6309999999998261,0.6309999999998261,8.630999999998945,0,EURUSD
2010-01-18,0.002,0.2620000000019828,-1.7379999999977969,5.262000000001432,0,EURUSD
2010-01-19,0.001,0.5969999999977382,-0.4030000000021516,3.5969999999996283,3,EURUSD
2010-01-19,0.002,2.193999999999807,0.1940000000000274,7.1939999999992565,9,EURUSD
2010-01-19,0.003,1.790999999999876,-2.2089999999996834,1.790999999999876,9,EURUSD
2010-01-19,0.005,2.984999999997573,0.9849999999977932,9.984999999999022,10,EURUSD
2010-01-19,0.01,2.969999999999917,0.9700000000001374,2.969999999999917,16,EURUSD
2010-01-20,0.001,5.7189999999995855,4.718999999999696,53.718999999998736,1,EURUSD
2010-01-20,0.002,13.43799999999895,12.43799999999906,48.43799999999732,1,EURUSD
2010-01-20,0.003,20.157000000000647,18.157000000000867,34.1569999999991,1,EURUSD
2010-01-20,0.005,5.59499999999824,2.5949999999985707,5.59499999999824,1,EURUSD
2010-01-20,0.01,3.189999999999582,2.189999999999692,5.189999999999362,12,EURUSD
2010-01-21,0.001,31.886999999999333,21.88700000000044,31.886999999999333,2,EURUSD
2010-01-21,0.002,17.77399999999929,7.774000000000392,17.77399999999929,2,EURUSD
2010-01-21,0.003,3.660999999999248,-6.3389999999996505,3.660999999999248,2,EURUSD
2010-01-21,0.005,0.4350000000008514,-0.5650000000012589,0.4350000000008514,10,EURUSD
2010-01-24,0.001,0.8439999999998449,-0.156000000000045,0.8439999999998449,22,EURUSD
2010-01-25,0.001,1.8460000000009025,0.8460000000010126,5.846000000000462,1,EURUSD
2010-01-26,0.001,1.8519999999999648,1.8519999999999648,10.851999999998974,3,EURUSD
2010-01-26,0.002,7.703999999999489,5.703999999999709,7.703999999999489,3,EURUSD
2010-01-26,0.003,3.556000000002335,-0.4439999999994448,6.556000000002005,4,EURUSD
2010-01-26,0.005,2.260000000000595,-1.7399999999989646,2.260000000000595,5,EURUSD
2010-01-27,0.001,2.9189999999990057,1.918999999999116,3.918999999998896,0,EURUSD
2010-01-27,0.002,1.837999999998452,1.837999999998452,8.837999999997681,7,EURUSD
2010-01-27,0.003,2.7569999999998984,2.7569999999998984,4.756999999999678,8,EURUSD
2010-01-27,0.005,0.5949999999987909,-2.4050000000008787,7.59499999999802,19,EURUSD
2010-01-28,0.001,1.972000000001195,-5.027999999998034,1.972000000001195,0,EURUSD
2010-01-28,0.002,9.943999999999509,7.943999999999729,9.943999999999509,0,EURUSD
2010-01-28,0.003,25.916000000001382,23.915999999999386,45.9160000000014,1,EURUSD
2010-01-28,0.005,17.860000000000653,-12.140000000000484,17.860000000000653,1,EURUSD
2010-01-29,0.001,8.036000000000154,7.036000000000264,8.036000000000154,0,EURUSD
2010-01-29,0.002,11.07200000000086,7.0720000000013,11.07200000000086,0,EURUSD
2010-01-29,0.003,3.108000000002775,-2.8919999999987844,3.108000000002775,0,EURUSD
2010-01-29,0.005,4.180000000000295,2.180000000000515,8.179999999999854,16,EURUSD
2010-02-01,0.001,1.1249999999995983,1.1249999999995983,6.124999999999048,1,EURUSD
2010-02-02,0.001,16.079999999998318,6.079999999999419,16.079999999998318,3,EURUSD
2010-02-02,0.002,2.15999999999994,-7.839999999998959,2.15999999999994,3,EURUSD
2010-02-03,0.001,0.0239999999984696,0.0239999999984696,3.02400000000036,1,EURUSD
2010-02-03,0.002,2.04799999999894,2.04799999999894,2.04799999999894,2,EURUSD
