Date,rv5,rq5,bpv5,rsp,rsn,n5,pair
2014-06-06,8.804227483253308e-06,3.8243942639561727e-10,6.214968471836023e-06,5.732938160207736e-06,3.071289323045573e-06,251,USDCAD
2014-06-08,9.35012608750669e-08,1.2477835018620616e-14,7.268815108760384e-08,8.713744949863757e-08,6.3638113764293315e-09,35,USDCAD
2014-06-09,4.724829988328717e-06,3.213537575616917e-11,4.645445991015647e-06,2.047453251122691e-06,2.677376737206027e-06,287,USDCAD
2014-06-10,6.342991831523131e-06,7.030586743902288e-11,6.146811417214367e-06,2.9724212233199457e-06,3.370570608203186e-06,287,USDCAD
2014-06-11,5.995933710069633e-06,5.743691315941679e-11,6.308831590672998e-06,2.496711887698721e-06,3.499221822370912e-06,287,USDCAD
2014-06-12,6.612770445863888e-06,8.910138459719714e-11,6.684475307059488e-06,2.73480200084154e-06,3.877968445022349e-06,287,USDCAD
2014-06-13,5.716795258718069e-06,5.6889974318974274e-11,5.919118247445857e-06,2.687891894306409e-06,3.0289033644116604e-06,251,USDCAD
2014-06-15,1.0134315116416393e-07,2.2033692934009926e-14,6.72486314706543e-08,5.329616255138217e-08,4.8046988612781786e-08,35,USDCAD
2014-06-16,7.304861425490325e-06,1.0329509245608036e-10,6.547235002292495e-06,3.4455191288460337e-06,3.859342296644291e-06,287,USDCAD
2014-06-17,4.594791838633686e-06,4.011479283802703e-11,4.100950718131194e-06,2.513775328951673e-06,2.081016509682013e-06,287,USDCAD
2014-06-18,8.12411223765292e-06,1.8158681465796342e-10,7.183434359125817e-06,3.0465082630692564e-06,5.077603974583661e-06,287,USDCAD
2014-06-19,5.531898850868875e-06,4.0903390212843305e-11,5.479818387541694e-06,2.7878361088031947e-06,2.744062742065681e-06,287,USDCAD
2014-06-20,2.6876262956214063e-05,3.210975944711013e-08,1.2399022767776387e-05,3.2478785651638635e-06,2.36283843910502e-05,251,USDCAD
2014-06-22,2.467742602138671e-07,1.0668945626242037e-13,1.93369657738074e-07,1.565859822910755e-07,9.018827792279165e-08,35,USDCAD
2014-06-23,7.77936814448236e-06,1.9598123329350399e-10,7.439931800070917e-06,3.0841725890698515e-06,4.695195555412509e-06,287,USDCAD
2014-06-24,4.081914159060181e-06,2.2003943285131852e-11,4.122089087408885e-06,2.207470202914636e-06,1.8744439561455448e-06,286,USDCAD
