pair,Date,n_bin,rv_kiem,hhi,top1,top12
GBPUSD,2012-02-22,287,2.447351486282414e-05,0.05690662755221587,0.16537606133386024,0.5370657210211242
GBPUSD,2012-02-23,287,1.5113411110617033e-05,0.021398492563220378,0.07640892271884929,0.40258034023937284
GBPUSD,2012-02-24,263,2.0115805378669388e-05,0.02012796057843931,0.05848428150061186,0.40372611072629516
GBPUSD,2012-02-27,287,1.9551100968612455e-05,0.02007005914571301,0.06452380236628993,0.3930034702199929
GBPUSD,2012-02-28,287,2.1239603680612695e-05,0.051688217651108176,0.15928896058657105,0.5376586548926686
GBPUSD,2012-02-29,287,3.5031991840493075e-05,0.06329957482856731,0.2282372452233521,0.5153081108624826
GBPUSD,2012-03-01,287,2.1557261888496638e-05,0.028466152824114244,0.09829742242466585,0.44156711344148974
GBPUSD,2012-03-02,263,1.9940365719247233e-05,0.03382687564563755,0.1448492644953939,0.4436328926072011
GBPUSD,2012-03-05,287,1.796797348306541e-05,0.013679532790958316,0.04523346766091431,0.30650241480167817
GBPUSD,2012-03-06,287,2.4729483394338758e-05,0.05019728587462737,0.19608425821929287,0.47502298954464317
GBPUSD,2012-03-07,287,1.468993025482959e-05,0.021509236020960196,0.07134526805143664,0.4142765888409912
GBPUSD,2012-03-08,287,1.9136023961968783e-05,0.013767876666189472,0.05692521965747526,0.29159669558747503
GBPUSD,2012-03-09,263,2.6382896441464658e-05,0.024696665603426204,0.0828223631178041,0.4408347517529644
GBPUSD,2012-03-12,287,2.2515623169259864e-05,0.025414989499219047,0.06500170921737924,0.48663408348000886
GBPUSD,2012-03-13,287,2.790780621571916e-05,0.024312923923456027,0.07073799983122873,0.44966471494920657
GBPUSD,2012-03-14,287,3.6640330540055255e-05,0.01985380873591157,0.0538688237213284,0.4060634807900578
GBPUSD,2012-03-15,287,2.6340381721956922e-05,0.019547354369493355,0.05823616838620974,0.41509542365034086
