Date,pair,rv_m1,n_m1,rv_m5,n_m5,rv_m15,n_m15,rv_h1,n_h1
2020-04-19,USDJPY,3.7416403096808844e-06,170,2.404799857839672e-06,34,1.546339959227105e-06,11,8.811032566719155e-07,2.0
2020-04-20,USDJPY,1.376144190579195e-05,1436,1.2031255279764877e-05,287,1.2379846255370944e-05,95,1.2714410913496902e-05,23.0
2020-04-21,USDJPY,2.0625972660178877e-05,1436,2.239004224095014e-05,287,1.949612295625658e-05,95,7.440549220408522e-06,23.0
2020-04-22,USDJPY,1.523506896466402e-05,1433,1.1534306878406248e-05,287,9.334930400472939e-06,95,6.355028469824995e-06,23.0
2020-04-23,USDJPY,3.0183052628743627e-05,1434,3.180088421529648e-05,287,3.1810324808103904e-05,95,2.9209508995982096e-05,23.0
2020-04-24,USDJPY,9.476946194638423e-06,1258,6.115217960323547e-06,251,4.610665326624213e-06,83,4.97656295724342e-06,20.0
2020-04-26,USDJPY,1.3864292705239615e-06,177,1.1666045188327806e-06,35,1.1068951772962114e-06,11,7.61757976816483e-07,2.0
2020-04-27,USDJPY,1.3260669876365988e-05,1436,1.2359610433161741e-05,287,1.17909184868562e-05,95,6.643975426458167e-06,23.0
2020-04-28,USDJPY,1.4190817074929276e-05,1438,1.385041659053072e-05,287,1.8314218857177503e-05,95,1.6734755514467712e-05,23.0
2020-04-29,USDJPY,1.8249321629783253e-05,1428,1.5152642566046151e-05,287,1.2275063721266889e-05,95,9.396467351195585e-06,23.0
2020-04-30,USDJPY,3.202527096500058e-05,1427,3.522314029892461e-05,285,3.2491707207579374e-05,95,2.8085973281622163e-05,23.0
2020-05-01,USDJPY,1.6191839940597402e-05,1259,1.645907194990583e-05,251,1.8253893085153993e-05,83,1.2086101793937526e-05,20.0
2020-05-03,USDJPY,6.048453917306625e-06,167,2.616734776237017e-06,34,2.0177087043872495e-06,11,9.949313407755008e-07,2.0
2020-05-04,USDJPY,9.077478392530472e-06,1434,8.26219785562861e-06,287,6.610227867701562e-06,95,5.4564198358726015e-06,23.0
2020-05-05,USDJPY,1.282642281812523e-05,1431,9.26344340642092e-06,286,7.929865567192317e-06,95,5.4790706645285275e-06,23.0
2020-05-06,USDJPY,1.4546366705398109e-05,1435,1.2600180227349381e-05,287,1.0506534923705409e-05,95,9.981114119228386e-06,23.0
2020-05-07,USDJPY,1.4453431853956064e-05,1438,1.3379632756501214e-05,287,9.903987708500768e-06,95,1.1998392656861064e-05,23.0
2020-05-08,USDJPY,1.3800765279796205e-05,1259,1.3929455957390427e-05,251,1.5689146677259434e-05,83,1.4949879719231118e-05,20.0
2020-05-10,USDJPY,6.336879400558028e-06,178,3.8560285598295535e-06,35,3.4593659752563048e-06,11,4.2863138428885985e-06,2.0
2020-05-11,USDJPY,1.4994006406394992e-05,1432,1.3851176093149013e-05,287,1.1543911971122307e-05,95,1.440957094602592e-05,23.0
2020-05-12,USDJPY,1.2176777399297568e-05,1439,1.1028969205482587e-05,287,1.1066782474533916e-05,95,1.0023318324709276e-05,23.0
2020-05-13,USDJPY,1.3899088184255554e-05,1435,1.5009854801356698e-05,287,1.1027378165117742e-05,95,1.0462832891191214e-05,23.0
2020-05-14,USDJPY,1.098488995409044e-05,1437,1.1388914876497615e-05,287,1.1565497757995524e-05,95,1.179504303919307e-05,23.0
2020-05-15,USDJPY,1.2091569314030057e-05,1258,1.3132452036259682e-05,251,1.19258655756312e-05,83,1.358268324861682e-05,20.0
2020-05-17,USDJPY,1.2246160278050183e-06,172,1.1515922737731195e-06,35,1.4193138643545358e-06,11,2.4928052490244657e-06,2.0
2020-05-18,USDJPY,1.0347634751837835e-05,1429,1.004162310313517e-05,287,8.414832037070836e-06,95,9.330063629625974e-06,23.0
2020-05-19,USDJPY,1.6439698633698388e-05,1438,1.432452852051526e-05,287,1.2594048825001036e-05,95,1.1415369709402498e-05,23.0
2020-05-20,USDJPY,1.043701513638735e-05,1430,1.0645381677440528e-05,287,1.0628027167375729e-05,95,6.8555791129252265e-06,23.0
2020-05-21,USDJPY,9.228832965375071e-06,1438,8.815886920961264e-06,287,9.217635496080226e-06,95,5.744097027055738e-06,23.0
2020-05-22,USDJPY,7.012310941057752e-06,1257,7.29584654345205e-06,251,7.813774167008651e-06,83,8.517316898329357e-06,20.0
2020-05-24,USDJPY,1.1735516890013612e-06,176,9.656747157261008e-07,35,1.039421813265695e-06,11,1.3050379027056033e-06,2.0
2020-05-25,USDJPY,3.0859171785659898e-06,1432,2.436380447811199e-06,287,1.7807811680954897e-06,95,1.5460781799330386e-06,23.0
2020-05-26,USDJPY,9.09783935810674e-06,1434,9.684512728720954e-06,287,7.348805346750081e-06,95,1.0095669047539007e-05,23.0
2020-05-27,USDJPY,1.1291556238435473e-05,1438,1.1907247684625246e-05,287,1.0085146618933629e-05,95,6.607838415164362e-06,23.0
2020-05-28,USDJPY,9.648748006734216e-06,1431,7.119740276260195e-06,287,5.882625338904941e-06,95,4.957754759760032e-06,23.0
2020-05-29,USDJPY,1.6904597363930978e-05,1259,1.7183733353311293e-05,251,1.9461963453664155e-05,83,2.2187241786676875e-05,20.0
2020-05-31,USDJPY,1.259032896706351e-06,177,9.340337901815767e-07,35,1.1922385773207579e-06,11,1.5210844003719773e-07,2.0
2020-06-01,USDJPY,1.0918761192403012e-05,1438,1.0067604394217171e-05,287,9.665310364558394e-06,95,1.1293093169075304e-05,23.0
2020-06-02,USDJPY,2.1697831990516966e-05,1437,2.3985356552374988e-05,287,2.0278642757282262e-05,95,2.7932864837151637e-05,23.0
